App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver 
Real Tractor Farming	AUTO_AND_VEHICLES	4	1598	56M	1,000,000+	Free	0	Everyone	Auto & Vehicles	26-Jul-18	11	4.1 
Ultimate F1 Racing Championship	AUTO_AND_VEHICLES	3.8	284	57M	100,000+	Free	0	Everyone	Auto & Vehicles	26-Jul-18	3	4.1 
Used Cars Trucks Sale	AUTO_AND_VEHICLES	4.6	17057	Varies device	1,000,000+	Free	0	Everyone	Auto & Vehicles	30-Jul-18	Varies device	Varies device 
American Muscle Car Race	AUTO_AND_VEHICLES	3.9	129	35M	100,000+	Free	0	Everyone	Auto & Vehicles	26-Jul-18	3	4.1 
Offroad Oil Tanker Driver Transport Truck 2019	AUTO_AND_VEHICLES	4.3	542	33M	100,000+	Free	0	Everyone	Auto & Vehicles	31-Jul-18	4	4.1 
Tickets SDA 2018 Exam State Traffic Safety Inspectorate Drom.ru	AUTO_AND_VEHICLES	4.9	10479	33M	100,000+	Free	0	Everyone	Auto & Vehicles	18-Jul-18	1.7.1	4.0 
Gas Prices (Germany only)	AUTO_AND_VEHICLES	4.4	805	5.6M	50,000+	Free	0	Everyone	Auto & Vehicles	29-Jul-18	2.5.1	4.4 
Extreme Rally Championship	AUTO_AND_VEHICLES	4.2	129	54M	100,000+	Free	0	Everyone	Auto & Vehicles	26-Jul-18	3	4.1 
Restart Navigator	AUTO_AND_VEHICLES	4	1403	201k	100,000+	Free	0	Everyone	Auto & Vehicles	26-Aug-14	1.0.1	2.2 
REG - Check regnumber, information Swedish vehicles	AUTO_AND_VEHICLES	3.9	3971	3.6M	100,000+	Free	0	Everyone	Auto & Vehicles	30-Jul-18	2.493	4.4 
CityBus Lviv	AUTO_AND_VEHICLES	4.6	534	5.7M	10,000+	Free	0	Everyone	Auto & Vehicles	8-Jul-18	1.9.1	4.0.3 
CDL Practice Test 2018 Edition	AUTO_AND_VEHICLES	4.9	7774	17M	100,000+	Free	0	Everyone	Auto & Vehicles	3-Jul-18	1.7	4.2 
ezETC (ETC balance inquiry, meter trial, real-time traffic)	AUTO_AND_VEHICLES	4.3	38846	8.6M	1,000,000+	Free	0	Everyone	Auto & Vehicles	28-Jul-18	2.20 Build 02	4.1 
Free VIN Report Used Cars	AUTO_AND_VEHICLES	4.6	2431	2.4M	100,000+	Free	0	Everyone	Auto & Vehicles	12-Jun-18	1.37	4.0 
DMV Permit Practice Test 2018 Edition	AUTO_AND_VEHICLES	4.9	6090	27M	100,000+	Free	0	Everyone	Auto & Vehicles	3-Jul-18	1.7	4.2 
Check Vehicle Tax	AUTO_AND_VEHICLES	3.9	295	2.7M	10,000+	Free	0	Everyone	Auto & Vehicles	30-Jul-18	0.2.1	4.4 
Used Cars Mexico	AUTO_AND_VEHICLES	4	190	2.5M	50,000+	Free	0	Everyone	Auto & Vehicles	14-Oct-16	1	2.3 
Ulysse Speedometer	AUTO_AND_VEHICLES	4.3	40211	Varies device	5,000,000+	Free	0	Everyone	Auto & Vehicles	30-Jul-18	Varies device	Varies device 
REPUVE	AUTO_AND_VEHICLES	3.9	356	Varies device	100,000+	Free	0	Everyone	Auto & Vehicles	25-May-18	Varies device	Varies device 
Used cars sale - Trovit	AUTO_AND_VEHICLES	4.2	52530	7.0M	5,000,000+	Free	0	Everyone	Auto & Vehicles	16-Jul-18	4.47.3	4.0.3 
Fines State Traffic Safety Inspectorate official: inspection, payment fines	AUTO_AND_VEHICLES	4.8	116986	35M	5,000,000+	Free	0	Everyone	Auto & Vehicles	2-Aug-18	1.9.7	4.0.3 
SK Enca Direct Malls - Used Cars Search	AUTO_AND_VEHICLES	3.6	1379	16M	500,000+	Free	0	Everyone	Auto & Vehicles	2-Aug-18	2.2.21	4.2 
Android Auto - Maps, Media, Messaging & Voice	AUTO_AND_VEHICLES	4.2	271920	16M	10,000,000+	Free	0	Teen	Auto & Vehicles	11-Jul-18	Varies device	5.0 
PDD-UA	AUTO_AND_VEHICLES	4.8	736	Varies device	100,000+	Free	0	Everyone	Auto & Vehicles	29-Jul-18	2.9	2.3.3 
Tickets SDA 2019 + Exam RF	AUTO_AND_VEHICLES	4.8	7021	17M	500,000+	Free	0	Everyone	Auto & Vehicles	27-Jul-18	1.79	4.0 
Super Cars Wallpapers And Backgrounds	AUTO_AND_VEHICLES	4.6	197	3.4M	50,000+	Free	0	Everyone	Auto & Vehicles	14-Jun-18	1.3	4.0 
Police Lights, Sirens & Follow Me	AUTO_AND_VEHICLES	4.5	737	8.9M	100,000+	Free	0	Everyone	Auto & Vehicles	8-Jun-18	2.3.5.1	4.1 
Police Detector (Speed Camera Radar)	AUTO_AND_VEHICLES	4.3	3574	3.9M	1,000,000+	Free	0	Everyone 10+	Auto & Vehicles	4-Jul-18	1.6	4.0 
Best Car Wallpapers	AUTO_AND_VEHICLES	4.5	994	2.9M	100,000+	Free	0	Everyone	Auto & Vehicles	27-Mar-18	1.6	4.1 
ipsy: Makeup, Beauty, Tips	BEAUTY	4.9	49790	14M	1,000,000+	Free	0	Everyone	Beauty	9-Nov-17	2.3.0	4.1 
Natural recipes beauty	BEAUTY	4.7	1150	9.8M	100,000+	Free	0	Everyone	Beauty	15-May-18	4	4.1 
BestCam Selfie-selfie, beauty camera, photo editor	BEAUTY	3.9	1739	21M	500,000+	Free	0	Everyone	Beauty	12-Jul-18	1.0.6	4.0.3 
Mirror - Zoom & Exposure -	BEAUTY	3.9	32090	Varies device	1,000,000+	Free	0	Everyone	Beauty	24-Oct-16	Varies device	Varies device 
Beauty Selfie Camera	BEAUTY	4.2	2225	52M	500,000+	Free	0	Everyone	Beauty	28-Feb-18	1.6	4.1 
Hairstyles step step	BEAUTY	4.6	4369	14M	100,000+	Free	0	Everyone	Beauty	25-Jul-18	1.9	4.0.3 
Filters Selfie	BEAUTY	4.3	8572	25M	1,000,000+	Free	0	Everyone	Beauty	10-May-18	1.1.0	4.0 
Tie - Always happy	BEAUTY	4.7	964	9.0M	50,000+	Free	0	Everyone	Beauty	21-Jun-18	4	4.2 
Ulta Beauty	BEAUTY	4.7	42050	Varies device	1,000,000+	Free	0	Everyone	Beauty	5-Jun-18	5.4	5.0 
Prom MakeUp Tutorial	BEAUTY	4.8	104	12M	10,000+	Free	0	Everyone	Beauty	26-Jun-18	1.3	4.0.3 
Selfie Camera	BEAUTY	4.2	17934	Varies device	1,000,000+	Free	0	Everyone	Beauty	12-Sep-17	Varies device	Varies device 
Sweet Selfie Beauty Camera	BEAUTY	4.3	601	35M	100,000+	Free	0	Everyone	Beauty	2-Jun-18	2.0.0	4.0 
Colors white Urdu	BEAUTY	4.5	36	6.7M	10,000+	Free	0	Everyone	Beauty	26-Jul-18	6	4.0 
Selfie Camera Photo Editor & Filter & Sticker	BEAUTY	4.1	187	30M	50,000+	Free	0	Teen	Beauty	24-Jul-18	3.0.1	4.0.3 
Wrinkles rejuvenation	BEAUTY	NaN	182	5.7M	100,000+	Free	0	Everyone 10+	Beauty	20-Sep-17	8	3.0 
Eyes Makeup Beauty Tips	BEAUTY	4.2	30	2.9M	10,000+	Free	0	Everyone	Beauty	9-Apr-18	3.3.9	4.0.3 
Photo Editor 2018	BEAUTY	4.5	134	17M	10,000+	Free	0	Everyone	Beauty	1-Mar-18	1.2	4.0.3 
Step By Step Eyes Makeup Tutorial	BEAUTY	4.4	74	2.9M	10,000+	Free	0	Everyone	Beauty	5-Apr-18	2.3.09	4.0.3 
Beauty Camera - Selfie Camera	BEAUTY	4	113715	Varies device	10,000,000+	Free	0	Everyone	Beauty	3-Aug-17	Varies device	Varies device 
Girls Hairstyles	BEAUTY	4.1	3595	Varies device	500,000+	Free	0	Everyone	Beauty	24-May-18	Varies device	4.0 
Mirror Camera (Mirror + Selfie Camera)	BEAUTY	4.1	9315	2.6M	1,000,000+	Free	0	Everyone	Beauty	21-Nov-17	1.4.2	4.0 
Beauty Tips - Beauty Tips Sinhala	BEAUTY	4.4	75	4.2M	50,000+	Free	0	Everyone	Beauty	18-Oct-17	1.0.0	4.0.3 
Haircut Tutorials/Haircut Videos	BEAUTY	4.6	38	7.1M	10,000+	Free	0	Everyone	Beauty	29-May-18	1	4.0 
Sephora: Skin Care, Beauty Makeup & Fragrance Shop	BEAUTY	4.5	26834	57M	1,000,000+	Free	0	Everyone	Beauty	24-Jul-18	18.5	5.0 
Manicure - nail design	BEAUTY	NaN	119	3.7M	50,000+	Free	0	Everyone	Beauty	23-Jul-18	1.3	4.1 
Sticker Camera - Selfie Filters, Beauty Camera	BEAUTY	3.9	2277	22M	500,000+	Free	0	Everyone	Beauty	12-Jul-18	1.1.0	4.0.3 
Filters B Live	BEAUTY	4.4	2280	24M	500,000+	Free	0	Everyone	Beauty	14-May-18	1.1.0	4.0 
Skin Care Natural Beauty	BEAUTY	NaN	654	7.4M	100,000+	Free	0	Teen	Beauty	17-Jul-18	1.15	4.1 
Facial Wrinkle Reduction	BEAUTY	4.6	184	21M	10,000+	Free	0	Everyone	Beauty	2-Jul-18	1.5	4.1 
Makeup Videos	BEAUTY	3.8	9	3.4M	5,000+	Free	0	Everyone	Beauty	7-Jun-18	1	4.0 
Wattpad 📖 Free Books	BOOKS_AND_REFERENCE	4.6	2914724	Varies device	100,000,000+	Free	0	Teen	Books & Reference	1-Aug-18	Varies device	Varies device 
E-Book Read - Read Book free	BOOKS_AND_REFERENCE	4.5	1857	4.9M	50,000+	Free	0	Everyone	Books & Reference	3-Aug-18	1.3.2	4.4 
Download free book green book	BOOKS_AND_REFERENCE	4.6	4478	9.5M	100,000+	Free	0	Everyone 10+	Books & Reference	31-Jul-17	1.1	4.0 
Wikipedia	BOOKS_AND_REFERENCE	4.4	577550	Varies device	10,000,000+	Free	0	Everyone	Books & Reference	2-Aug-18	Varies device	Varies device 
Amazon Kindle	BOOKS_AND_REFERENCE	4.2	814080	Varies device	100,000,000+	Free	0	Teen	Books & Reference	27-Jul-18	Varies device	Varies device 
Cool Reader	BOOKS_AND_REFERENCE	4.5	246315	Varies device	10,000,000+	Free	0	Everyone	Books & Reference	17-Jul-15	Varies device	1.5 
Dictionary - Merriam-Webster	BOOKS_AND_REFERENCE	4.5	454060	Varies device	10,000,000+	Free	0	Everyone	Books & Reference	18-May-18	Varies device	Varies device 
NOOK: Read eBooks & Magazines	BOOKS_AND_REFERENCE	4.5	155446	Varies device	10,000,000+	Free	0	Teen	Books & Reference	25-Apr-18	Varies device	Varies device 
Free Panda Radio Music	BOOKS_AND_REFERENCE	4.5	418	4.2M	100,000+	Free	0	Everyone	Books & Reference	27-Mar-18	2.1	4.1 
Book store	BOOKS_AND_REFERENCE	4.4	22486	5.4M	1,000,000+	Free	0	Teen	Books & Reference	6-Jun-18	3.2.1	4.0 
FBReader: Favorite Book Reader	BOOKS_AND_REFERENCE	4.5	203130	Varies device	10,000,000+	Free	0	Everyone	Books & Reference	28-Jun-18	Varies device	Varies device 
English Grammar Complete Handbook	BOOKS_AND_REFERENCE	4.6	1435	2.8M	500,000+	Free	0	Everyone	Books & Reference	21-Jan-18	1	4.0 
Free Books - Spirit Fanfiction Stories	BOOKS_AND_REFERENCE	4.8	116507	5.0M	1,000,000+	Free	0	Teen	Books & Reference	1-Aug-18	2.0.075	4.0.3 
Google Play Books	BOOKS_AND_REFERENCE	3.9	1433233	Varies device	1,000,000,000+	Free	0	Teen	Books & Reference	3-Aug-18	Varies device	Varies device 
AlReader -any text book reader	BOOKS_AND_REFERENCE	4.6	90468	5.9M	5,000,000+	Free	0	Everyone	Books & Reference	27-May-18	1.91180527	2.3 
Offline English Dictionary	BOOKS_AND_REFERENCE	4.2	860	13M	100,000+	Free	0	Everyone	Books & Reference	17-Jul-18	1	4.0.3 
Oxford Dictionary English : Free	BOOKS_AND_REFERENCE	4.1	363934	7.1M	10,000,000+	Free	0	Everyone	Books & Reference	11-Jul-18	9.1.363	4.1 
Offline: English Tagalog Dictionary	BOOKS_AND_REFERENCE	4.7	967	6.7M	500,000+	Free	0	Everyone	Books & Reference	4-Aug-18	1.1.6	4.0.3 
Spanish English Translator	BOOKS_AND_REFERENCE	4.2	87873	Varies device	10,000,000+	Free	0	Teen	Books & Reference	28-May-18	Varies device	Varies device 
FamilySearch Tree	BOOKS_AND_REFERENCE	4.3	17506	17M	1,000,000+	Free	0	Everyone	Books & Reference	20-Jul-18	2.3.18	4.1 
Cloud Books	BOOKS_AND_REFERENCE	3.3	1862	19M	1,000,000+	Free	0	Everyone	Books & Reference	27-Apr-18	2.2.5	4.1 
Recipes Prophetic Medicine free	BOOKS_AND_REFERENCE	4.6	2084	6.7M	500,000+	Free	0	Everyone	Books & Reference	17-May-18	15	2.3 
ReadEra – free ebook reader	BOOKS_AND_REFERENCE	4.8	47303	21M	1,000,000+	Free	0	Everyone	Books & Reference	2-Jun-18	18.05.31+530	4.1 
NOOK App NOOK Devices	BOOKS_AND_REFERENCE	4.7	19080	Varies device	500,000+	Free	0	Everyone	Books & Reference	25-Apr-18	Varies device	Varies device 
Anonymous caller detection	BOOKS_AND_REFERENCE	NaN	161	2.7M	10,000+	Free	0	Everyone	Books & Reference	13-Jul-18	1	2.3 
Ebook Reader	BOOKS_AND_REFERENCE	4.1	85842	37M	5,000,000+	Free	0	Everyone	Books & Reference	25-Jun-18	5.0.6	4.0 
Litnet - E-books	BOOKS_AND_REFERENCE	4.6	7831	15M	100,000+	Free	0	Teen	Books & Reference	4-Jul-18	1.2.3	4.0 
Read books online	BOOKS_AND_REFERENCE	4.1	91615	23M	5,000,000+	Free	0	Mature 17+	Books & Reference	29-Jun-18	3.12	4.1 
English Urdu Dictionary	BOOKS_AND_REFERENCE	4.6	4620	19M	500,000+	Free	0	Everyone	Books & Reference	23-Nov-17	2	4.0.3 
eBoox: book reader fb2 epub zip	BOOKS_AND_REFERENCE	4.7	21336	23M	1,000,000+	Free	0	Everyone	Books & Reference	20-Jun-18	1.28	3.0 
Uber Driver	BUSINESS	4.4	1254730	Varies device	10,000,000+	Free	0	Everyone	Business	3-Aug-18	Varies device	Varies device 
ADP Mobile Solutions	BUSINESS	4.3	85185	29M	5,000,000+	Free	0	Everyone	Business	17-Jul-18	3.4.2	5.0 
Snag - Jobs Hiring Now	BUSINESS	4.3	32584	Varies device	1,000,000+	Free	0	Everyone	Business	4-May-18	Varies device	Varies device 
Docs To Go™ Free Office Suite	BUSINESS	4.1	217730	Varies device	50,000,000+	Free	0	Everyone	Business	2-Apr-18	Varies device	Varies device 
Google My Business	BUSINESS	4.4	70991	Varies device	5,000,000+	Free	0	Everyone	Business	24-Jul-18	2.19.0.204537701	4.4 
OfficeSuite : Free Office + PDF Editor	BUSINESS	4.3	1002861	35M	100,000,000+	Free	0	Everyone	Business	2-Aug-18	9.7.14188	4.1 
USPS MOBILE®	BUSINESS	3.9	16589	9.1M	1,000,000+	Free	0	Everyone	Business	14-Jun-18	4.9.10	4.0.3 
Job Search ZipRecruiter	BUSINESS	4.8	148945	25M	1,000,000+	Free	0	Everyone	Business	19-Jul-18	5.2.8	5.0 
Curriculum vitae App CV Builder Free Resume Maker	BUSINESS	4.5	4458	3.9M	500,000+	Free	0	Everyone	Business	8-Jul-18	3.3	4.1 
Google Primer	BUSINESS	4.4	62272	18M	10,000,000+	Free	0	Everyone	Business	26-Jun-18	3.550.2	4.1 
Alba Heaven - Alvarez Job Portal Services	BUSINESS	4	8941	12M	5,000,000+	Free	0	Everyone	Business	31-Jul-18	4.6.30	4.0.3 
SuperLivePro	BUSINESS	4.3	46353	21M	1,000,000+	Free	0	Everyone	Business	13-Apr-16	2.8	1.5 
Facebook Pages Manager	BUSINESS	4	1279184	Varies device	50,000,000+	Free	0	Everyone	Business	2-Aug-18	Varies device	Varies device 
OfficeSuite Pro + PDF (Trial)	BUSINESS	4.2	88073	Varies device	10,000,000+	Free	0	Everyone	Business	9-Jul-18	Varies device	Varies device 
My Space - Employment Center	BUSINESS	4.5	67000	Varies device	1,000,000+	Free	0	Everyone	Business	17-Jul-18	Varies device	4.3 
Box	BUSINESS	4.2	159872	Varies device	10,000,000+	Free	0	Everyone	Business	31-Jul-18	Varies device	Varies device 
Polaris Office LG	BUSINESS	4.2	30847	55M	5,000,000+	Free	0	Everyone	Business	8-Feb-18	7.3.21	4.1 
Call Blocker	BUSINESS	4.6	188841	3.2M	5,000,000+	Free	0	Everyone	Business	21-Jun-18	1.1.13	4.0 
Jobs Alabama - Jobs Alba	BUSINESS	4.1	11622	Varies device	5,000,000+	Free	0	Everyone	Business	26-Jul-18	Varies device	Varies device 
Square Point Sale - POS	BUSINESS	4.6	95912	Varies device	5,000,000+	Free	0	Everyone	Business	30-Jul-18	Varies device	Varies device 
Plugin:AOT v5.0	BUSINESS	3.1	4034	23k	100,000+	Free	0	Everyone	Business	11-Sep-15	3.0.1.11 (Build 311)	2.2 
Kariyer.net	BUSINESS	3.9	45964	16M	1,000,000+	Free	0	Everyone	Business	18-Jul-18	5.1.5	4.1 
SEEK Job Search	BUSINESS	4.3	14955	Varies device	1,000,000+	Free	0	Everyone	Business	30-Jul-18	Varies device	Varies device 
Become Job - Find job advertise	BUSINESS	4.1	6903	14M	1,000,000+	Free	0	Everyone	Business	10-Jul-18	2.3.6	4.1 
ZOOM Cloud Meetings	BUSINESS	4.4	31614	37M	10,000,000+	Free	0	Everyone	Business	20-Jul-18	4.1.28165.0716	4.0 
Easy Installer - Apps On SD	BUSINESS	4.1	23055	Varies device	5,000,000+	Free	0	Everyone	Business	8-Jun-18	Varies device	Varies device 
Facebook Ads Manager	BUSINESS	4.1	19023	Varies device	1,000,000+	Free	0	Everyone	Business	1-Aug-18	99.0.0.35.75	4.1 
IndiaMART: Search Products, Buy, Sell & Trade	BUSINESS	4.5	207372	11M	5,000,000+	Free	0	Everyone	Business	2-Aug-18	12.2.4	4.0 
ViettelPost express delivery	BUSINESS	4.4	1225	25M	100,000+	Free	0	Everyone	Business	1-Aug-18	1.0.6.8	4.1 
MyASUS - Service Center	BUSINESS	4.4	380837	7.3M	10,000,000+	Free	0	Everyone	Business	4-Jul-18	3.4.5	4.2 
GANMA! - All original stories free charge original comics	COMICS	4.7	57106	27M	1,000,000+	Free	0	Teen	Comics	23-Jul-18	2.11.3	4.1 
Röhrich Werner Soundboard	COMICS	4.7	2249	32M	500,000+	Free	0	Everyone	Comics	16-Nov-17	1.08	4.0.3 
Unicorn Pokez - Color By Number	COMICS	4.8	516	12M	50,000+	Free	0	Everyone	Comics;Creativity	3-Aug-18	1.0.6	4.4 
MangaToon - Comics updated Daily	COMICS	3.9	834	15M	50,000+	Free	0	Mature 17+	Comics	1-Aug-18	1.0.8	4.1 
Manga Net – Best Online Manga Reader	COMICS	4.1	1010	11M	50,000+	Free	0	Mature 17+	Comics	7-Jul-18	1.5	4.1 
Manga Rock - Best Manga Reader	COMICS	4.4	238970	28M	1,000,000+	Free	0	Teen	Comics	9-Jul-18	3.4.3_world	5.0 
Manga - read Thai translation	COMICS	4.6	302	2.2M	10,000+	Free	0	Teen	Comics	3-Jul-18	1	4.0 
The Vietnam Story - Fun Stories	COMICS	4.5	438	3.4M	10,000+	Free	0	Everyone	Comics	27-Dec-17	1	2.3 
Dragon Ball Wallpaper - Ringtones	COMICS	4.7	73	8.3M	10,000+	Free	0	Everyone	Comics	23-Jul-18	1.9	4.0.3 
Funny Jokes Photos	COMICS	4.4	39	4.3M	10,000+	Free	0	Everyone 10+	Comics	3-Jul-18	1.1	4.2 
Truyện Vui Tý Quậy	COMICS	4.5	144	4.7M	10,000+	Free	0	Everyone	Comics	19-Jul-18	3	4.0.3 
Comic Es - Shojo manga / love comics free charge ♪ ♪	COMICS	3.9	2181	10M	100,000+	Free	0	Teen	Comics	5-Mar-18	1.2.12	4.0.3 
comico Popular Original Cartoon Updated Everyday Comico	COMICS	3.2	93965	15M	5,000,000+	Free	0	Teen	Comics	3-Jul-18	6.3.0	4.0.3 
Daily Manga - Comic & Webtoon	COMICS	3.2	1446	7.1M	100,000+	Free	0	Mature 17+	Comics	18-May-18	1	4.0.3 
漫咖 Comics - Manga,Novel Stories	COMICS	4.1	12088	21M	1,000,000+	Free	0	Mature 17+	Comics	6-Jul-18	2.3.1	4.0.3 
Emmanuella Funny Videos 2018	COMICS	4.5	314	6.1M	100,000+	Free	0	Everyone	Comics	23-May-18	3.1.0	4.1 
DC Comics	COMICS	4.2	25671	Varies device	1,000,000+	Free	0	Teen	Comics	5-Jun-18	Varies device	Varies device 
Manga Zero - Japanese cartoon comic reader	COMICS	4.2	15194	15M	1,000,000+	Free	0	Teen	Comics	19-Jul-18	4.7.3	4.2 
Marvel Unlimited	COMICS	3.7	22551	11M	1,000,000+	Free	0	Teen	Comics	24-Jul-18	3.16.0	4.4 
Tapas – Comics, Novels, Stories	COMICS	4.5	29839	29M	1,000,000+	Free	0	Teen	Comics	31-Jul-18	4.1.0	4.4 
Children's cartoons (Mithu-Mina-Raju)	COMICS	4.6	279	3.3M	100,000+	Free	0	Everyone	Comics	18-Dec-17	1.6	4.0 
Narrator's Voice	COMICS	4.5	564387	Varies device	5,000,000+	Free	0	Everyone	Comics	5-Jul-18	Varies device	Varies device 
【Ranobbe complete free】 Novelba - Free app read write novels	COMICS	NaN	1330	22M	50,000+	Free	0	Everyone	Comics	3-Jul-18	6.1.1	4.2 
Faustop Sounds	COMICS	4.7	1677	40M	100,000+	Free	0	Everyone	Comics	26-May-18	1.7.7	4.1 
Manga Mania - Best online manga reader	COMICS	4.4	757	10M	10,000+	Free	0	Teen	Comics	24-May-18	1	4.1 
Hojiboy Tojiboyev Life Hacks	COMICS	5	15	37M	1,000+	Free	0	Everyone	Comics	26-Jun-18	2	4.0.3 
Perfect Viewer	COMICS	4.4	51981	Varies device	5,000,000+	Free	0	Everyone	Comics	1-Aug-18	4.2.0.2	2.3 
Best Wallpapers Backgrounds(100,000+ 4K HD)	COMICS	4.7	3596	7.8M	10,000+	Free	0	Teen	Comics	16-Jun-18	1.01	4.0.3 
Comics	COMICS	4.4	1006	19M	50,000+	Free	0	Everyone	Comics	3-Aug-18	2.3.3	4.0.3 
Memes Button	COMICS	4.4	5968	5.7M	1,000,000+	Free	0	Everyone	Comics	28-May-18	1.4	4.0 
Messenger Lite: Free Calls & Messages	COMMUNICATION	4.4	1429035	Varies device	100,000,000+	Free	0	Everyone	Communication	25-Jul-18	37.0.0.7.163	2.3 
Gmail	COMMUNICATION	4.3	4604324	Varies device	1,000,000,000+	Free	0	Everyone	Communication	2-Aug-18	Varies device	Varies device 
Hangouts	COMMUNICATION	4	3419249	Varies device	1,000,000,000+	Free	0	Everyone	Communication	21-Jul-18	Varies device	Varies device 
Viber Messenger	COMMUNICATION	4.3	11334799	Varies device	500,000,000+	Free	0	Everyone	Communication	18-Jul-18	Varies device	Varies device 
My Tele2	COMMUNICATION	4.3	158679	8.8M	5,000,000+	Free	0	Everyone	Communication	3-Aug-18	2.4.1	4.4 
